SCHOOL,CLASS,CHILD,COMBI,SIZE,SSES,GIRL,MINORITY,SITTERS,CSES,IQV,IQP,PRE_LANG,POST_LANG,PRE_ARITH,POST_ARITH
1,180,1,0,29,11,1,1,0,10,10.5,7.3333333333,33,50,10,12
1,180,2,0,29,11,1,1,0,,14,14.333333333,44,50,18,30
1,180,3,0,29,11,0,0,0,23,15,12.329999924,36,46,14,24
1,180,4,0,29,11,0,1,0,10,14.5,10,36,45,12,19
1,180,5,0,29,11,0,0,0,15,9.5,11,33,33,10,24
2,280,28,1,19,11,1,0,1,15,11.5,7.3330001831,22,21,3,6
2,280,29,1,19,11,0,0,0,15,10.5,9.3330001831,33,27,4,8
2,280,30,1,19,11,0,0,0,20,8,9.3330001831,22,16,11,19
2,280,31,1,19,11,1,0,1,15,7.5,7.6659998894,25,31,9,9
2,280,32,1,19,11,0,1,1,10,7.5,11.329999924,27,21,11,18
3,380,35,1,28,18,1,0,0,32,14.5,8.6666666667,23,30,2,14
3,380,36,1,28,18,1,0,0,34,14,11.333333333,37,50,3,15
3,380,37,1,28,18,1,0,1,14,9,8.6666666667,23,25,6,12
3,380,38,1,28,18,1,0,0,35,10.5,11.666666667,35,38,8,9
3,380,39,1,28,18,0,0,0,22,9.5,11.666666667,25,33,9,8
5,580,44,0,21,13,0,1,1,18,5,10.333333333,15,30,5,14
5,580,45,0,21,13,1,0,0,21,7.5,7.6666666667,21,21,5,8
5,580,46,0,21,13,1,0,0,21,11.5,12,25,11,5,12
5,580,47,0,21,13,1,0,0,,9.5,5.3333333333,24,34,6,12
5,580,48,0,21,13,0,1,0,,7.5,9.6666666667,24,55,6,14
6,680,62,1,30,22,0,0,0,43,15.5,11.666666667,37,19,9,11
6,680,63,1,30,22,1,0,0,49,14.5,11.333333333,47,22,11,11
6,680,64,1,30,22,1,0,0,19,10.5,7,28,4,12,13
6,680,65,1,30,22,0,0,0,46,13.5,8,34,17,12,11
6,680,66,1,30,22,1,0,0,47,15,10.666666667,39,88,12,19
9,982,92,0,23,,0,0,1,21,11,13.666666667,24,34,4,7
9,982,93,0,23,,0,0,0,33,13.5,14,23,34,9,10
9,982,94,0,23,,0,0,0,25,11,13,25,43,9,12
9,982,95,0,23,,1,0,0,28,13,12.333333333,29,40,10,13
9,982,96,0,23,,0,0,0,41,12.5,13.666666667,42,48,13,22
10,1082,109,1,25,15,0,0,0,15,10.5,8.6660003662,26,28,5,8
10,1082,110,1,25,15,0,0,0,20,10.5,12,25,33,11,19
10,1082,111,1,25,15,1,0,0,20,12.5,7.3330001831,31,38,10,12
10,1082,112,1,25,15,1,0,0,10,8,9,20,14,6,8
10,1082,113,1,25,15,1,0,0,33,11,8.3330001831,30,39,8,10